OrderID,OrderDate,CustomerID,CustomerName,City,Region,ProductID,ProductName,Category,UnitPrice,Quantity,Discount,Revenue
ORD00001,2025-01-10,CUST001,TechCorp Solutions,New York,East,PROD001,Enterprise Laptop,Electronics,1200.0,2,0.05,2280.0
ORD00002,2025-01-12,CUST002,Apex Global,Los Angeles,West,PROD003,Ultra Tablet,Electronics,450.0,1,0.0,450.0
ORD00003,2025-01-15,CUST003,Quantum Systems,Chicago,Midwest,PROD004,Ergonomic Office Chair,Furniture,350.0,3,0.0,1050.0
ORD00004,2025-01-18,CUST004,Summit Enterprise,Houston,South,PROD002,Pro Smartphone,Electronics,850.0,1,0.1,765.0
ORD00005,2025-01-20,CUST005,Nova Industries,Phoenix,West,PROD005,Standing Desk,Furniture,650.0,2,0.15,1105.0
ORD00006,2025-01-22,CUST006,Vanguard Labs,Philadelphia,East,PROD006,Noise-Cancelling Headphones,Accessories,200.0,4,0.0,800.0
ORD00007,2025-01-25,CUST007,Horizon Retail,San Antonio,South,PROD007,Mechanical Keyboard,Accessories,120.0,5,0.2,480.0
ORD00008,2025-01-28,CUST008,Infinity Partners,San Diego,West,PROD008,4K UltraHD Monitor,Electronics,400.0,1,0.05,380.0
ORD00009,2025-02-01,CUST009,Pinnacle Group,Dallas,South,PROD009,Wireless Laser Printer,Office Supplies,250.0,2,0.0,500.0
ORD00010,2025-02-03,CUST010,Centurion Ltd,San Jose,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,3,0.1,486.0
ORD00011,2025-02-05,CUST011,Starlight Co,Austin,South,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.0,1200.0
ORD00012,2025-02-08,CUST012,BlueSky Ventures,Jacksonville,South,PROD003,Ultra Tablet,Electronics,450.0,2,0.1,810.0
ORD00013,2025-02-10,CUST013,Redwood Logistics,San Francisco,West,PROD004,Ergonomic Office Chair,Furniture,350.0,2,0.0,700.0
ORD00014,2025-02-12,CUST014,Ironclad Security,Indianapolis,Midwest,PROD005,Standing Desk,Furniture,650.0,1,0.05,617.5
ORD00015,2025-02-15,CUST015,AeroTech Dynamics,Columbus,Midwest,PROD006,Noise-Cancelling Headphones,Accessories,200.0,1,0.0,200.0
ORD00016,2025-02-18,CUST016,Velocity Commerce,Fort Worth,South,PROD007,Mechanical Keyboard,Accessories,120.0,3,0.1,324.0
ORD00017,2025-02-20,CUST017,NextGen Media,Charlotte,East,PROD008,4K UltraHD Monitor,Electronics,400.0,2,0.15,680.0
ORD00018,2025-02-22,CUST018,Silverline Group,Seattle,West,PROD009,Wireless Laser Printer,Office Supplies,250.0,1,0.0,250.0
ORD00019,2025-02-25,CUST019,Beacon Services,Denver,West,PROD010,Smart Office Whiteboard,Office Supplies,180.0,2,0.0,360.0
ORD00020,2025-02-28,CUST020,Zephyr Tech,El Paso,South,PROD001,Enterprise Laptop,Electronics,1200.0,1,0.2,960.0
ORD00021,2025-03-02,CUST001,TechCorp Solutions,New York,East,PROD005,Standing Desk,Furniture,650.0,3,0.1,1755.0
